Type,ID,Timestamp,Date,Customer Name,PM Name,User,UserID,Text Preview,Has Thread,Reply Count,Is Bot
"Engagement","1768811097.368169","1768811097.368169","* 2026-01-15","State of Washington*","Satya Deep Maheshwari","","","* Generated by AI. Make sure to check for accuracy. Meeting notes: • *XFT to Adaptive Forms Migration Process:* Paul provided Vijay Kumar, Sudhanshu, and Satya Deep with a comprehensive overview of the migration process from legacy XFT forms to adaptive forms for the State of Washington project, det","true","1","false"
"Thread Reply","1768811291.300079","1768811291.300079","2026-01-19","State of Washington*","Satya Deep Maheshwari","W4RRL6DDY","W4RRL6DDY","<@W4RU4N66R>, <@W4XTCQ07J> , i think we should have a followup with Paul this week. I'd travelling next week for the One AEM summit.","false","0","false"
"Engagement","1768453320.359949","1768453320.359949","* 2026-01-14","S&amp;P Global*","Sudhanshu Singh","","","* • High level overview of the opportunities was shared • S&amp;P Global is moving from AMS to CS - including a division - which is separating from the org - and would be moving to EDS forms (June-Sept) on CS. Other divisions (main S&amp;P Global) would move to AF (non EDS) Forms on CS (Sept-March'2","true","2","false"
"Thread Reply","1768454798.303009","1768454798.303009","2026-01-15","S&amp;P Global*","Sudhanshu Singh","W4XTCQ07J","W4XTCQ07J","Connected with *Yuji Nakagawa*, he clarified that: • He has moved to another role (Solution Architect) - and had looked into forms ~ 3 months back - does not recall the forms part. • Suggested to connect with AMS team - to get the collateral/source code. • Will review the code to investigate the approach for VIP engagement.","false","0","false"
"Thread Reply","1768454875.363649","1768454875.363649","2026-01-15","S&amp;P Global*","Sudhanshu Singh","W4XTCQ07J","W4XTCQ07J","<@W5HEU5M7Y> we proposed a re-connect next week.. After the PPT and code review is done. We would need to schedule a meeting for that. Could you help schedule on Monday..","false","0","false"
"Engagement","1768452083.682849","1768452083.682849","* 2026-01-14","Optum*","Vijay Kumar Jalagari","","","* _AI-generated content. Make sure to check for accuracy._ *Key Topics:* • *Introduction:* Arun, Chmelik Aaron, Vijay Kumar, and Sudhanshu introduced themselves and their roles. The meeting aimed to discuss the migration from Marketo forms to AEM forms and the potential benefits of this migration.  ","true","1","false"
"Thread Reply","1768452531.433109","1768452531.433109","2026-01-15","Optum*","Vijay Kumar Jalagari","W4XTCQ07J","W4XTCQ07J","&gt; • Check if Optel is already enabled for Optum's pages and, if not, reach out to the relevant team to get it enabled. (Sudhanshu) Validated - RUM is enabled on <http://optum.com|optum.com> Currently we do not have opportunities - but we can work on re-evaluating the forms providing B2B context. <@W6CBB4953> lets review and discuss in scrum. as well.","false","0","false"
"Engagement","1768451922.332899","1768451922.332899","* 2026-01-12","BMW Attrition Risk Mitigation (With Eggs)*","Vijay Kumar Jalagari","","","* _AI-generated content. Make sure to check for accuracy._  *Key Topics:* • *Introduction:* Arun, Martin, Christoph, and Sven discussed the decision to stop using EM forms and replace them with a custom-built form solution from another vendor. The meeting aimed to understand the reasons behind this ","false","0","false"
"Engagement","1768367896.017359","1768367896.017359","* 2026-01-13","LPL*","Gaurav Ahuja","","","* • *Bulk Migration Need:* Customer highlighted the urgency to migrate ~1900 RIA forms from DocuSign to AEM; manual conversion (~2 hrs/form) is not scalable. • *Batch API Approach:* Engineering outlined batch APIs for PDF-to-AEM conversion with async processing and rate limits; recommended starting ","true","1","false"
"Thread Reply","1768367909.722679","1768367909.722679","2026-01-14","LPL*","Gaurav Ahuja","W4RU5J3JR","W4RU5J3JR","cc : <@W4RU4N66R> <@W4R5Y3YHX>","false","0","false"
