ID,Timestamp,Date,Customer Name,PM Name,Attendees,Notes Preview,Next Actions Count,Has Thread
"1768811097.368169","1768811097.368169","* 2026-01-15","State of Washington*","Satya Deep Maheshwari","W4XTCQ07J;W4RU4N66R;W4RRL6DDY","* Generated by AI. Make sure to check for accuracy. Meeting notes: • *XFT to Adaptive Forms Migration Process:* Paul provided Vijay Kumar, Sudhanshu, and Satya Deep with a comprehensive overview of th","3","true"
"1768453320.359949","1768453320.359949","* 2026-01-14","S&amp;P Global*","Sudhanshu Singh","W6CBB4953;WLWHN4TV3;W5HEU5M7Y","* • High level overview of the opportunities was shared • S&amp;P Global is moving from AMS to CS - including a division - which is separating from the org - and would be moving to EDS forms (June-Sep","3","true"
"1768452083.682849","1768452083.682849","* 2026-01-14","Optum*","Vijay Kumar Jalagari","W5HEU5M7Y;W4XTCQ07J;W4RU4N66R","* _AI-generated content. Make sure to check for accuracy._ *Key Topics:* • *Introduction:* Arun, Chmelik Aaron, Vijay Kumar, and Sudhanshu introduced themselves and their roles. The meeting aimed to d","6","true"
"1768451922.332899","1768451922.332899","* 2026-01-12","BMW Attrition Risk Mitigation (With Eggs)*","Vijay Kumar Jalagari","W4RU4N66R;W5HEU5M7Y","* _AI-generated content. Make sure to check for accuracy._  *Key Topics:* • *Introduction:* Arun, Martin, Christoph, and Sven discussed the decision to stop using EM forms and replace them with a cust","6","false"
"1768367896.017359","1768367896.017359","* 2026-01-13","LPL*","Gaurav Ahuja","W4RU5J3JR;W4RU708G5","* • *Bulk Migration Need:* Customer highlighted the urgency to migrate ~1900 RIA forms from DocuSign to AEM; manual conversion (~2 hrs/form) is not scalable. • *Batch API Approach:* Engineering outlin","4","true"
"1767941642.953959","1767941642.953959","* 2026-01-09","Fidelity Stock Plan Services*","Mahendra Bijarniya","WAKE92QE4;W4SGUV6R5","* • *Requirement* - Fidelity Stock Plan Services has a requirement to migrate to the latest versions of Windows Server, Microsoft Office, and Adobe Acrobat. With the newly supported Microsoft Office 2","2","true"
"1767793373.896409","1767793373.896409","* 2026-01-07","MoD (Ministry of Defence) UK - Client Demo*","Darshan Mahor","W4R4VBWQG;W4RU5J3JR;U03Q109GQMT;W010NNJV7S8","* _AI-generated content may be incorrect_ *Meeting notes* • *PDF to XDP Conversion Issues and Troubleshooting:* Tano described challenges encountered when converting legacy PDFs to XDP files using exp","3","true"
"1767779861.747509","1767779861.747509","* 2026-01-06","LPL*","Gaurav Ahuja","W4RU708G5;W4RU5J3JR","* • 3-4 GenAI converted forms are in QA phase and should be live in some time. 2 others are in progress. • LPL is looking to build more forms this year and will onboard more members from their operati","0","true"
"1767774077.405919","1767774077.405919","* 2026-01-06","UK Client MoD (Ministry of Defence)*","Darshan Mahor","W4R4VBWQG","* • *Migration of Ministry of Defence Forms to AM Forms Cloud Service:* Tano Polizzi and Darshan Mahor discussed the opportunity to migrate the UK Ministry of Defence's legacy on-premises forms system","4","false"
"1767606144.777479","1767606144.777479","* 2025-12-18","Verizon*","Sufyan Haroon","W5HEU5M7Y;U059FVAGHB4","* • *Overview of Adobe AEM Forms Value Proposition:* Melissa, Mark, and Jared from Adobe provided Sunil, Williams-VZ, Ani, Kiran, and the Verizon team with a comprehensive overview of the value propos","4","false"
"1766506195.165989","1766506195.165989","* 2025-12-23","Medtronic Inc*","Sakshi Arora","W4SG81T9C;WGVFDSK18","* This was for an escalated issue, where the customer's SQL server connection is getting dropped and sometimes returning too many requests. On analysis it was found that their custom servlet was estab","0","true"
"1766490510.217959","1766490510.217959","* 2025-12-22","HDFC Bank*","Vijay Kumar Jalagari","","* _AI-generated content. Make sure to check for accuracy._ *Meeting Notes* • *Sprint Dashboard &amp; KPI Alignment*: Vijay presented a new dashboard for sprint tracking, focusing on outcome goals, bas","7","false"
"1765977115.742489","1765977115.742489","* 2025-12-16","Komatsu*","Sakshi Arora","W4SG81T9C;W4XTCQ07J","* Delivered a private release, which the customer said selectively worked. On the call, we pointed out incorrect configuration. Customer rectified it, and validated things to be working as desired.  P","0","false"
"1765972821.635309","1765972821.635309","* 2025-12-16","LPL*","Gaurav Ahuja","W4RU708G5;W4RU5J3JR","* • *Slow Deletion Performance:* Customer reported slow/unresponsive deletion of text fields; Engineering identified a slow `references` network call as the likely cause. • *Diagnosis &amp; Workaround","3","true"
"1765931489.292819","1765931489.292819","* 2025-12-16","Brunswick*","Shraddha Singh","U06NF880220","* *Form Go-Live Status and Next Steps:* Heidi Reinke confirmed to Shraddha that the form is live on production in a test state, outlined the steps to move it to the final page, and agreed to share bot","0","false"
"1765378376.520859","1765378376.520859","* 2025-12-10","smartdoctech - James Terry*","Darshan Mahor","W4R4VBWQG","* • James is new to this cloud deployment pipeline approach, so I walked him through the AEM archetype and the process for deploying code to AEM. • I gave him a demo of the IC on Cloud feature, includ","2","true"
"1765371354.813939","1765371354.813939","* 2025-12-10","South Africa Reserve Bank*","Sakshi Arora","W4SG81T9C;U02HBGTSREF","* *Context*: Customer came with requirement of *34K fields in a form* (AF1)  Meeting notes: • *Migration from Foundation to Core Component Based Forms:* Sakshi and Amit explained the process and resul","0","true"
"1765292186.526739","1765292186.526739","* 2025-12-09","Brunswick*","Mayank Agarwal","U06NF880220;U0213T59LMN","* • *Mercury Marine Forms Deployment Status:* Andy updated Mayank, Heidi, Mark, and the team on the progress of Mercury Marine forms deployment, noting that production testing is underway, styling cha","6","false"
"1764149604.281159","1764149604.281159","* 2025-11-25","Carpenter*","Sakshi Arora","W4SG81T9C;U06NF880220;U05TSNKRNP8","* Generated by AI. Make sure to check for accuracy. Meeting notes: • *Azure SQL Server Connectivity and Regional Restrictions:* Sakshi, Randy Reisling, and Shraddha discussed ongoing issues with conne","0","false"
